no_of_members,no_of_casuals,total_num,date
1875,396,2271,01-04-2020
2041,541,2582,02-04-2020
2540,951,3491,03-04-2020
1734,527,2261,04-04-2020
1963,899,2862,05-04-2020
1917,485,2402,06-04-2020
3344,1801,5145,07-04-2020
1753,594,2347,08-04-2020
1554,403,1957,09-04-2020
2027,663,2690,10-04-2020
2929,1482,4411,11-04-2020
2319,1299,3618,12-04-2020
1476,335,1811,13-04-2020
1336,252,1588,14-04-2020
1157,250,1407,15-04-2020
1835,414,2249,16-04-2020
1115,303,1418,17-04-2020
3258,1821,5079,18-04-2020
3188,1922,5110,19-04-2020
2655,1208,3863,20-04-2020
1973,625,2598,21-04-2020
1571,406,1977,22-04-2020
1820,448,2268,23-04-2020
1686,555,2241,24-04-2020
835,200,1035,25-04-2020
3853,2302,6155,26-04-2020
1933,632,2565,27-04-2020
2395,954,3349,28-04-2020
502,132,634,29-04-2020
1938,603,2541,30-04-2020
3278,1432,4710,01-05-2020
6088,5632,11720,02-05-2020
5107,4225,9332,03-05-2020
1915,676,2591,04-05-2020
1478,454,1932,05-05-2020
3170,1538,4708,06-05-2020
3228,1730,4958,07-05-2020
2032,740,2772,08-05-2020
4382,3482,7864,09-05-2020
960,425,1385,10-05-2020
2005,836,2841,11-05-2020
3178,1522,4700,12-05-2020
3615,2094,5709,13-05-2020
1957,1041,2998,14-05-2020
4098,2854,6952,15-05-2020
4992,3893,8885,16-05-2020
448,236,684,17-05-2020
2649,1197,3846,18-05-2020
2069,746,2815,19-05-2020
4073,2150,6223,20-05-2020
3608,1929,5537,21-05-2020
4525,2988,7513,22-05-2020
4646,4021,8667,23-05-2020
6650,8055,14705,24-05-2020
6387,7731,14118,25-05-2020
4213,3415,7628,26-05-2020
4703,3333,8036,27-05-2020
4078,2633,6711,28-05-2020
5805,4657,10462,29-05-2020
6675,10366,17041,30-05-2020
15,172,187,31-05-2020
3764,2397,6161,03-06-2020
4599,2942,7541,04-06-2020
5194,3636,8830,05-06-2020
7183,7866,15049,06-06-2020
6638,6433,13071,07-06-2020
5996,4261,10257,08-06-2020
3674,1887,5561,09-06-2020
4777,2804,7581,10-06-2020
7046,5102,12148,11-06-2020
6858,5001,11859,12-06-2020
7164,6949,14113,13-06-2020
7041,7412,14453,14-06-2020
6160,3916,10076,15-06-2020
7055,4922,11977,16-06-2020
7323,5396,12719,17-06-2020
7570,5642,13212,18-06-2020
8373,7747,16120,19-06-2020
7253,7249,14502,20-06-2020
7052,7624,14676,21-06-2020
4468,2490,6958,22-06-2020
8026,5534,13560,23-06-2020
7558,5193,12751,24-06-2020
8797,7055,15852,25-06-2020
3925,2160,6085,26-06-2020
9399,10897,20296,27-06-2020
9052,11119,20171,28-06-2020
5701,3588,9289,29-06-2020
8353,6092,14445,30-06-2020
8806,6833,15639,01-07-2020
8728,7626,16354,02-07-2020
8875,11205,20080,03-07-2020
7417,12303,19720,04-07-2020
7326,10995,18321,05-07-2020
7860,6812,14672,06-07-2020
8179,6144,14323,07-07-2020
8796,6908,15704,08-07-2020
8573,6015,14588,09-07-2020
8620,8112,16732,10-07-2020
10202,12607,22809,11-07-2020
9723,12688,22411,12-07-2020
8941,7500,16441,13-07-2020
9550,7548,17098,14-07-2020
5766,3427,9193,15-07-2020
9615,7430,17045,16-07-2020
10006,9711,19717,17-07-2020
9518,13177,22695,18-07-2020
6268,8150,14418,19-07-2020
8840,6884,15724,20-07-2020
7600,4416,12016,21-07-2020
10090,7031,17121,22-07-2020
10316,8075,18391,23-07-2020
10395,10052,20447,24-07-2020
10803,15288,26091,25-07-2020
8452,11125,19577,26-07-2020
8510,6369,14879,27-07-2020
10089,7828,17917,28-07-2020
9059,6196,15255,29-07-2020
9830,7737,17567,30-07-2020
11008,10314,21322,31-07-2020
10083,12735,22818,01-08-2020
7377,7626,15003,02-08-2020
7685,5023,12708,03-08-2020
10336,6984,17320,04-08-2020
10337,7078,17415,05-08-2020
11054,8255,19309,06-08-2020
11406,10666,22072,07-08-2020
12002,16068,28070,08-08-2020
9954,12692,22646,09-08-2020
5780,3599,9379,10-08-2020
10464,6805,17269,11-08-2020
10886,7019,17905,12-08-2020
10642,7451,18093,13-08-2020
10816,8965,19781,14-08-2020
10543,12358,22901,15-08-2020
10811,13057,23868,16-08-2020
9793,6865,16658,17-08-2020
11320,7356,18676,18-08-2020
11315,7715,19030,19-08-2020
11301,8113,19414,20-08-2020
11572,10342,21914,21-08-2020
12010,16097,28107,22-08-2020
9011,10956,19967,23-08-2020
9629,6230,15859,24-08-2020
10607,6314,16921,25-08-2020
11074,6827,17901,26-08-2020
10150,6284,16434,27-08-2020
11012,8189,19201,28-08-2020
12428,14832,27260,29-08-2020
10897,12971,23868,30-08-2020
10400,6270,16670,31-08-2020
7237,3052,10289,01-09-2020
11768,7068,18836,02-09-2020
11238,7025,18263,03-09-2020
11509,9757,21266,04-09-2020
10804,16778,27582,05-09-2020
6607,9811,16418,06-09-2020
10105,12614,22719,07-09-2020
4673,1784,6457,08-09-2020
8390,3588,11978,09-09-2020
7003,3016,10019,10-09-2020
8835,5307,14142,11-09-2020
5754,4803,10557,12-09-2020
10915,11924,22839,13-09-2020
9447,5004,14451,14-09-2020
11145,6259,17404,15-09-2020
11236,7097,18333,16-09-2020
10379,5884,16263,17-09-2020
9721,6413,16134,18-09-2020
10163,12124,22287,19-09-2020
9606,10372,19978,20-09-2020
9585,5365,14950,21-09-2020
10885,6062,16947,22-09-2020
11125,6343,17468,23-09-2020
11123,6699,17822,24-09-2020
11576,9787,21363,25-09-2020
10749,13777,24526,26-09-2020
9439,10093,19532,27-09-2020
7105,3211,10316,28-09-2020
9167,4113,13280,29-09-2020
8987,3953,12940,30-09-2020
7323,3024,10347,01-10-2020
8456,4899,13355,02-10-2020
7031,6442,13473,03-10-2020
6390,5394,11784,04-10-2020
7948,3538,11486,05-10-2020
9903,4911,14814,06-10-2020
10519,5627,16146,07-10-2020
9862,5259,15121,08-10-2020
10494,8586,19080,09-10-2020
10039,12733,22772,10-10-2020
8444,9559,18003,11-10-2020
6090,2679,8769,12-10-2020
9472,4711,14183,13-10-2020
9413,4626,14039,14-10-2020
7911,3495,11406,15-10-2020
6917,3726,10643,16-10-2020
6648,6353,13001,17-10-2020
2962,1600,4562,18-10-2020
5037,1597,6634,19-10-2020
6283,1980,8263,20-10-2020
6843,2423,9266,21-10-2020
7846,3929,11775,22-10-2020
4581,1647,6228,23-10-2020
6334,4783,11117,24-10-2020
4683,2917,7600,25-10-2020
4679,1136,5815,26-10-2020
4451,1050,5501,27-10-2020
6590,2120,8710,28-10-2020
5601,1669,7270,29-10-2020
6049,2356,8405,30-10-2020
6922,4907,11829,31-10-2020
3498,1702,5200,01-11-2020
5539,1719,7258,02-11-2020
7465,3262,10727,03-11-2020
7470,3384,10854,04-11-2020
7569,3526,11095,05-11-2020
8800,5637,14437,06-11-2020
9938,11629,21567,07-11-2020
8165,8596,16761,08-11-2020
8232,4475,12707,09-11-2020
5891,2215,8106,10-11-2020
5895,1922,7817,11-11-2020
5970,2080,8050,12-11-2020
5270,1942,7212,13-11-2020
4090,2232,6322,14-11-2020
2116,824,2940,15-11-2020
4962,1415,6377,16-11-2020
4666,1228,5894,17-11-2020
5131,1423,6554,18-11-2020
5898,2360,8258,19-11-2020
6204,2702,8906,20-11-2020
4599,2409,7008,21-11-2020
2988,1422,4410,22-11-2020
4379,1322,5701,23-11-2020
1994,432,2426,24-11-2020
2283,577,2860,25-11-2020
2122,1073,3195,26-11-2020
3194,1587,4781,27-11-2020
3908,2626,6534,28-11-2020
3270,1630,4900,29-11-2020
2983,553,3536,30-11-2020
3387,646,4033,01-12-2020
3991,943,4934,02-12-2020
3845,1005,4850,03-12-2020
4330,1229,5559,04-12-2020
3864,1614,5478,05-12-2020
2786,1038,3824,06-12-2020
3487,759,4246,07-12-2020
3595,692,4287,08-12-2020
4722,1310,6032,09-12-2020
5241,1763,7004,10-12-2020
2856,621,3477,11-12-2020
1683,485,2168,12-12-2020
3042,1262,4304,13-12-2020
3299,698,3997,14-12-2020
3337,671,4008,15-12-2020
2877,573,3450,16-12-2020
3054,622,3676,17-12-2020
3637,920,4557,18-12-2020
3329,1355,4684,19-12-2020
2685,1230,3915,20-12-2020
3263,958,4221,21-12-2020
3467,942,4409,22-12-2020
3164,917,4081,23-12-2020
1226,217,1443,24-12-2020
508,233,741,25-12-2020
1532,635,2167,26-12-2020
2139,1050,3189,27-12-2020
2669,657,3326,28-12-2020
1925,464,2389,29-12-2020
1403,268,1671,30-12-2020
1936,489,2425,31-12-2020
707,234,941,01-01-2021
1587,503,2090,02-01-2021
1675,524,2199,03-01-2021
2456,454,2910,04-01-2021
2961,567,3528,05-01-2021
2934,623,3557,06-01-2021
2880,646,3526,07-01-2021
