month_int,month_name,year,no_of_members,no_of_casuals,total_num
4,April,2020,60522,23403,83925
5,May,2020,112027,86203,198230
6,June,2020,185999,153314,339313
7,July,2020,277761,266506,544267
8,August,2020,322695,281742,604437
9,September,2020,286276,219083,505359
10,October,2020,221721,129676,351397
11,November,2020,154489,77904,232393
12,December,2020,92279,26266,118545
1,January,2021,71659,15794,87453
2,February,2021,35763,9059,44822
3,March,2021,133645,78316,211961
4,April,2021,183244,125248,308492
