station_name,no_of_casuals
Streeter Dr & Grand Ave,28344
Lake Shore Dr & Monroe St,23381
Millennium Park,21444
Theater on the Lake,16151
Michigan Ave & Oak St,15222
Indiana Ave & Roosevelt Rd,14708
Lake Shore Dr & North Blvd,14483
Clark St & Elm St,12828
Michigan Ave & Lake St,12760
Michigan Ave & Washington St,11657
Shedd Aquarium,11148
Clark St & Lincoln Ave,11092
Buckingham Fountain,10989
Wells St & Concord Ln,10927
Clark St & Armitage Ave,10687
Wabash Ave & Grand Ave,10610
Michigan Ave & 8th St,10504
Columbus Dr & Randolph St,10338
Wells St & Elm St,10067
Fairbanks Ct & Grand Ave,9675
