1875,396,2271,2020-04-01
2041,541,2582,2020-04-02
2540,951,3491,2020-04-03
1734,527,2261,2020-04-04
1963,899,2862,2020-04-05
1917,485,2402,2020-04-06
3344,1801,5145,2020-04-07
1753,594,2347,2020-04-08
1554,403,1957,2020-04-09
2027,663,2690,2020-04-10
2929,1482,4411,2020-04-11
2319,1299,3618,2020-04-12
1476,335,1811,2020-04-13
1336,252,1588,2020-04-14
1157,250,1407,2020-04-15
1835,414,2249,2020-04-16
1115,303,1418,2020-04-17
3258,1821,5079,2020-04-18
3188,1922,5110,2020-04-19
2655,1208,3863,2020-04-20
1973,625,2598,2020-04-21
1571,406,1977,2020-04-22
1820,448,2268,2020-04-23
1686,555,2241,2020-04-24
835,200,1035,2020-04-25
3853,2302,6155,2020-04-26
1933,632,2565,2020-04-27
2395,954,3349,2020-04-28
502,132,634,2020-04-29
1938,603,2541,2020-04-30
3278,1432,4710,2020-05-01
6088,5632,11720,2020-05-02
5107,4225,9332,2020-05-03
1915,676,2591,2020-05-04
1478,454,1932,2020-05-05
3170,1538,4708,2020-05-06
3228,1730,4958,2020-05-07
2032,740,2772,2020-05-08
4382,3482,7864,2020-05-09
960,425,1385,2020-05-10
2005,836,2841,2020-05-11
3178,1522,4700,2020-05-12
3615,2094,5709,2020-05-13
1957,1041,2998,2020-05-14
4098,2854,6952,2020-05-15
4992,3893,8885,2020-05-16
448,236,684,2020-05-17
2649,1197,3846,2020-05-18
2069,746,2815,2020-05-19
4073,2150,6223,2020-05-20
3608,1929,5537,2020-05-21
4525,2988,7513,2020-05-22
4646,4021,8667,2020-05-23
6650,8055,14705,2020-05-24
6387,7731,14118,2020-05-25
4213,3415,7628,2020-05-26
4703,3333,8036,2020-05-27
4078,2633,6711,2020-05-28
5805,4657,10462,2020-05-29
6675,10366,17041,2020-05-30
15,172,187,2020-05-31
3764,2397,6161,2020-06-03
4599,2942,7541,2020-06-04
5194,3636,8830,2020-06-05
7183,7866,15049,2020-06-06
6638,6433,13071,2020-06-07
5996,4261,10257,2020-06-08
3674,1887,5561,2020-06-09
4777,2804,7581,2020-06-10
7046,5102,12148,2020-06-11
6858,5001,11859,2020-06-12
7164,6949,14113,2020-06-13
7041,7412,14453,2020-06-14
6160,3916,10076,2020-06-15
7055,4922,11977,2020-06-16
7323,5396,12719,2020-06-17
7570,5642,13212,2020-06-18
8373,7747,16120,2020-06-19
7253,7249,14502,2020-06-20
7052,7624,14676,2020-06-21
4468,2490,6958,2020-06-22
8026,5534,13560,2020-06-23
7558,5193,12751,2020-06-24
8797,7055,15852,2020-06-25
3925,2160,6085,2020-06-26
9399,10897,20296,2020-06-27
9052,11119,20171,2020-06-28
5701,3588,9289,2020-06-29
8353,6092,14445,2020-06-30
8806,6833,15639,2020-07-01
8728,7626,16354,2020-07-02
8875,11205,20080,2020-07-03
7417,12303,19720,2020-07-04
7326,10995,18321,2020-07-05
7860,6812,14672,2020-07-06
8179,6144,14323,2020-07-07
8796,6908,15704,2020-07-08
8573,6015,14588,2020-07-09
8620,8112,16732,2020-07-10
10202,12607,22809,2020-07-11
9723,12688,22411,2020-07-12
8941,7500,16441,2020-07-13
9550,7548,17098,2020-07-14
5766,3427,9193,2020-07-15
9615,7430,17045,2020-07-16
10006,9711,19717,2020-07-17
9518,13177,22695,2020-07-18
6268,8150,14418,2020-07-19
8840,6884,15724,2020-07-20
7600,4416,12016,2020-07-21
10090,7031,17121,2020-07-22
10316,8075,18391,2020-07-23
10395,10052,20447,2020-07-24
10803,15288,26091,2020-07-25
8452,11125,19577,2020-07-26
8510,6369,14879,2020-07-27
10089,7828,17917,2020-07-28
9059,6196,15255,2020-07-29
9830,7737,17567,2020-07-30
